logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,2.641,1.245,-0.026,,,,9.65,2.686,1.283,0.008,,,,9.7,2.778,1.516,0.329
9.6,2.628,1.219,-0.063,,,,9.65,2.664,1.242,-0.053,,,,9.7,2.779,1.467,0.258
9.6,2.617,1.199,-0.092,,,,9.65,2.65,1.217,-0.088,,,,9.7,2.776,1.421,0.191
9.6,2.616,1.197,-0.095,,,,9.65,2.662,1.239,-0.056,,,,9.7,2.768,1.402,0.163
9.6,2.626,1.218,-0.064,,,,9.65,2.686,1.286,0.014,,,,9.7,2.767,1.402,0.162
9.6,2.641,1.248,-0.019,,,,9.65,2.7,1.312,0.052,,,,9.7,2.752,1.368,0.112
9.6,2.652,1.269,0.012,,,,9.65,2.681,1.272,-0.008,,,,9.7,2.723,1.31,0.024
9.6,2.659,1.282,0.03,,,,9.65,2.654,1.22,-0.086,,,,9.7,2.698,1.263,-0.044
9.6,2.645,1.252,-0.014,,,,9.65,2.624,1.166,-0.163,,,,9.7,2.688,1.246,-0.068
9.6,2.619,1.202,-0.089,,,,9.65,2.59,1.113,-0.239,,,,9.7,2.707,1.281,-0.016
9.6,2.59,1.148,-0.168,,,,9.65,2.555,1.059,-0.313,,,,9.7,2.729,1.325,0.048
9.6,2.558,1.093,-0.246,,,,9.65,2.518,1.005,-0.388,,,,9.7,2.736,1.336,0.065
9.6,2.523,1.04,-0.321,,,,9.65,2.479,0.952,-0.46,,,,9.7,2.714,1.292,-0.002
9.6,2.487,0.986,-0.395,,,,9.65,2.45,0.901,-0.53,,,,9.7,2.685,1.238,-0.082
9.6,2.45,0.932,-0.469,,,,9.65,2.46,0.857,-0.594,,,,9.7,2.654,1.184,-0.159
9.6,2.412,0.88,-0.54,,,,9.65,2.468,0.818,-0.653,,,,9.7,2.619,1.13,-0.234
9.6,2.402,0.831,-0.608,,,,9.65,2.491,0.787,-0.705,,,,9.7,2.583,1.076,-0.309
9.6,2.413,0.789,-0.67,,,,9.65,2.564,0.805,-0.709,,,,9.7,2.545,1.022,-0.382
9.6,2.436,0.759,-0.723,,,,9.65,2.582,0.78,-0.752,,,,9.7,2.506,0.969,-0.454
9.6,2.507,0.771,-0.735,,,,9.65,2.589,0.748,-0.8,,,,9.7,2.504,0.924,-0.52
9.6,2.523,0.743,-0.78,,,,9.65,2.593,0.722,-0.839,,,,9.7,2.514,0.883,-0.58
9.6,2.53,0.709,-0.831,,,,9.65,2.6,0.698,-0.877,,,,9.7,2.524,0.844,-0.638
9.6,2.535,0.68,-0.875,,,,9.65,2.607,0.684,-0.901,,,,9.7,2.559,0.821,-0.684
9.6,2.541,0.654,-0.914,,,,9.65,2.614,0.677,-0.915,,,,9.7,2.622,0.839,-0.685
9.6,2.549,0.632,-0.95,,,,9.65,2.623,0.673,-0.925,,,,9.7,2.641,0.815,-0.727
9.6,2.554,0.623,-0.965,,,,9.65,2.627,0.683,-0.913,,,,9.7,2.645,0.787,-0.768
9.6,2.562,0.619,-0.976,,,,9.65,2.634,0.696,-0.898,,,,9.7,2.651,0.763,-0.805
9.6,2.569,0.617,-0.982,,,,9.65,2.639,0.721,-0.869,,,,9.7,2.659,0.744,-0.837
9.6,2.573,0.627,-0.97,,,,9.65,2.645,0.758,-0.822,,,,9.7,2.666,0.737,-0.851
9.6,2.579,0.64,-0.956,,,,9.65,2.651,0.798,-0.771,,,,9.7,2.675,0.73,-0.865
9.6,2.584,0.665,-0.925,,,,9.65,2.658,0.867,-0.682,,,,9.7,2.68,0.736,-0.86
9.6,2.59,0.701,-0.88,,,,9.65,2.667,0.945,-0.582,,,,9.7,2.686,0.749,-0.845
9.6,2.596,0.747,-0.821,,,,9.65,2.677,1.061,-0.435,,,,9.7,2.693,0.771,-0.819
9.6,2.603,0.824,-0.721,,,,9.65,2.691,1.18,-0.285,,,,9.7,2.699,0.809,-0.772
9.6,2.614,0.918,-0.601,,,,9.65,2.697,1.272,-0.169,,,,9.7,2.706,0.849,-0.722
9.6,2.624,1.024,-0.468,,,,9.65,2.696,1.233,-0.219,,,,9.7,2.711,0.908,-0.645
9.6,2.623,0.988,-0.514,,,,9.65,2.696,1.219,-0.236,,,,9.7,2.719,0.981,-0.551
9.6,2.625,1.029,-0.462,,,,9.65,2.688,1.085,-0.406,,,,9.7,2.73,1.083,-0.421
9.6,2.624,1.019,-0.474,,,,9.65,2.697,1.22,-0.236,,,,9.7,2.743,1.201,-0.272
9.6,2.623,1.006,-0.491,,,,9.65,2.695,1.184,-0.281,,,,9.7,2.756,1.337,-0.102
9.6,2.622,0.985,-0.517,,,,9.65,2.694,1.163,-0.308,,,,9.7,2.764,1.418,-0.002
9.6,2.622,0.974,-0.531,,,,9.65,2.696,1.185,-0.28,,,,9.7,2.761,1.333,-0.109
